Dataset,C:/Users/DigiPath/Desktop/lynda/2AFC_PilotStudy/TestingROIs/RandLocation6v13
Subset#1,Window1
Subset#2,Window2
Subset#3,Window3
Subset#4,Window4
Session,nick
Opened at,Tue Jul 6 14:21:19 2021

,,At,#1,#2,#3,#4,#True,#Chosen
,,02:21:19 PM,0001_6HA10mmTL2b_t,0001_13HA10mmTL6_f,0001_blankROI_f,0001_blankROI_f,1,1
,,02:21:22 PM,0002_6HA10mmBM5b_t,0002_13HA10mmTL2b_f,0002_blankROI_f,0002_blankROI_f,1,1
,,02:21:41 PM,0003_6HA10mmBR3b_t,0003_13HA10mmBL2_f,0003_blankROI_f,0003_blankROI_f,1,1
,,02:21:50 PM,0004_13HA10mmBL7_f,0004_6HA10mmTL3_t,0004_blankROI_f,0004_blankROI_f,2,1
,,02:21:55 PM,0005_13HA10mmBL3b_f,0005_6HA10mmTR6b_t,0005_blankROI_f,0005_blankROI_f,2,1
,,02:22:02 PM,0006_6HA10mmBM4b_t,0006_13HA10mmBR3b_f,0006_blankROI_f,0006_blankROI_f,1,1
,,02:22:04 PM,0007_13HA10mmTR1_f,0007_6HA10mmBL2_t,0007_blankROI_f,0007_blankROI_f,2,2
,,02:22:08 PM,0008_13HA10mmBR5b_f,0008_6HA10mmTL8b_t,0008_blankROI_f,0008_blankROI_f,2,2
,,02:22:10 PM,0009_13HA10mmBM8b_f,0009_6HA10mmBR2b_t,0009_blankROI_f,0009_blankROI_f,2,1
,,02:22:18 PM,0010_6HA10mmBM3b_t,0010_13HA10mmTR8b_f,0010_blankROI_f,0010_blankROI_f,1,1
,,02:22:22 PM,0011_13HA10mmBR1_f,0011_6HA10mmTR7_t,0011_blankROI_f,0011_blankROI_f,2,1
,,02:22:35 PM,0012_13HA10mmTR3b_f,0012_6HA10mmBR6_t,0012_blankROI_f,0012_blankROI_f,2,2
,,02:22:38 PM,0013_13HA10mmBL5_f,0013_6HA10mmTR7b_t,0013_blankROI_f,0013_blankROI_f,2,1
,,02:22:44 PM,0014_13HA10mmBM3_f,0014_6HA10mmBR5b_t,0014_blankROI_f,0014_blankROI_f,2,2
,,02:22:48 PM,0015_6HA10mmBM7_t,0015_13HA10mmTL2_f,0015_blankROI_f,0015_blankROI_f,1,1
,,02:22:54 PM,0016_6HA10mmBM8b_t,0016_13HA10mmBR1b_f,0016_blankROI_f,0016_blankROI_f,1,1
,,02:23:00 PM,0017_6HA10mmBL6b_t,0017_13HA10mmBL6_f,0017_blankROI_f,0017_blankROI_f,1,1
,,02:23:49 PM,0018_6HA10mmTR3_t,0018_13HA10mmBR2_f,0018_blankROI_f,0018_blankROI_f,1,1
,,02:23:56 PM,0019_13HA10mmTR1b_f,0019_6HA10mmBR8_t,0019_blankROI_f,0019_blankROI_f,2,1
,,02:24:09 PM,0020_13HA10mmTL1_f,0020_6HA10mmTR3b_t,0020_blankROI_f,0020_blankROI_f,2,2
